ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
1,Read Reports,,,,,,
2,Smith Travel Mailing List,,,,,,
3,Pull Destination Competition Data,"Grab 04-current all BLS QCEW data for analysis and questions. 

Begin to build out and house the gold standard on competitive economic profiles

1. Start with all QCEW in a digestible and accessible FACT table with associated dimension tables within reach.

2. Bake in Traded clusters and industry cluster focuses",,,"
",,
4,Explore SimpleView,Watch the intro video,"Watch Intro Video
Phone training session for Import tool and reporting
Create Table Files for database configuration and querying
Current layout of priorities and data upload/reporting",,Urgent & Important,,
5,Headshot and Contact Info,,,,,,
6,Read Marketing Campaign Recaps,,,,,,
7,RNI Room Night Index,Do a complete writeup,,,"Urgent & Not Important
Urgent & Important",,
8,Read Brand Communication & Effectiveness Survey,,,,,,
9,TTRA,,,,,,
10,Meeting Agenda for SMARI,,,,,,
11,Read Website Audit,,,,,,
12,Calculate Non-Lodging Spend from Dean Runyan Report,,,,,,
13,International Campaign ROI analysis,,,,"
",,
14,Formalize Analytics Plan,Formalize the plan and layout and phases/gantt chart for analytics plan.,,,"Urgent & Important
",,
15,Email for Burrellous,,,,,,
16,"Read Mastercard report, Add 9/12 meeting onto schedule",,,,"
",,
17,Email for event calculator destination marketing,,,,,,
18,Quick review of ROI Intnl spend,,,,,,
19,Finish Scorecard for Alliah,,,,"
Urgent & Important",,
20,Update Tax Offset for residents,,,,,,
21,Draft NDA for Mccvb in airport analysis,,,,,,
22,Acquaint myself with Visit California Research Web http://industry.visitcalifornia.com/Research/,,,,"
",,
23,Per Capita Tax Contributions for Compset listed in email. Some analysis included,file:///P:\Market%20Intelligence\Per%20Capita%20Tax%20Contributions%20by%20County%20'10-'15.xlsx,,,,,
24,Create Workbook for Allyson Booking.com data - A favor and overhead saver,,,,,,
25,Alliah - Update TOT City Totals for 2015-2016,,,,,,
26,Update cards by department,,,,Urgent & Important,,
27,Destination Think POI Paper,,,,"
",,
28,Writeup Destination Analysts,,,,"
",,
29,Trello Time Tracking Automation,"Finish dataset that allows for subsetting for hours at the right time. 

Plots-
          - top 3 most active tasks
          - completed tasks
          - Tasks worked on this week but not completing 


          - current graphs of type and department
          - live Gantt chart ",,,Urgent & Important,,
30,Document Trello_pull.py,"Edit the labels IN to be pulled from all available labels. Pull Colors and names.

This is how they should be used.",,,Urgent & Important,,
31,Organize Research Folders on P Drive,,,,"Urgent & Important
",,
32,Metrics & Measurement Dictionary,,,,"Urgent & Important
",,
33,Destination Think POI Writeup,,,,"
",,
34,Standard Operating Procedure Template,Spend 1 hr - Update and send out to Jen,,,Urgent & Important,,
35,Move projects and code to github,,,,Urgent & Important,,
36,Arrivalist Introduction,,,,"
",,
37,Check with Alliah Regarding 5th of the Month.,"Compare notes

Detail all instructions",,,"Urgent & Important
",,
38,Next week we need to figure out TripAdvisor $85k decision to go with their planning tool.,,,,,,
39,Mini Monthly Scorecard SOP,,,,"
Urgent & Important",,
40,Research Projects Proposals,"Social Analytics: An Internal Analysis

Destination vs Organization Analytics: How should we look at competition?

Hotel Reporting: What should these guys be getting from us?
",,,"
",,
